"RunDate","TagType","TagName","Workload","TotalCount"
"2026-07-01","Sensitivity","Public","EXO","29"
"2026-07-01","Sensitivity","Public","ODB","29"
"2026-07-01","Sensitivity","Public","SPO","29"
"2026-07-01","Sensitivity","Public","Teams","35"
"2026-07-01","Sensitivity","General","EXO","36"
"2026-07-01","Sensitivity","General","ODB","36"
"2026-07-01","Sensitivity","General","SPO","36"
"2026-07-01","Sensitivity","General","Teams","42"
"2026-07-01","Sensitivity","Confidential","EXO","43"
"2026-07-01","Sensitivity","Confidential","ODB","43"
"2026-07-01","Sensitivity","Confidential","SPO","43"
"2026-07-01","Sensitivity","Confidential","Teams","49"
"2026-07-01","Sensitivity","Confidential-Internal","EXO","50"
"2026-07-01","Sensitivity","Confidential-Internal","ODB","50"
"2026-07-01","Sensitivity","Confidential-Internal","SPO","50"
"2026-07-01","Sensitivity","Confidential-Internal","Teams","56"
"2026-07-01","Sensitivity","Confidential-Partner","EXO","57"
"2026-07-01","Sensitivity","Confidential-Partner","ODB","57"
"2026-07-01","Sensitivity","Confidential-Partner","SPO","57"
"2026-07-01","Sensitivity","Confidential-Partner","Teams","63"
"2026-07-01","Sensitivity","Highly Confidential","EXO","64"
"2026-07-01","Sensitivity","Highly Confidential","ODB","64"
"2026-07-01","Sensitivity","Highly Confidential","SPO","64"
"2026-07-01","Sensitivity","Highly Confidential","Teams","70"
"2026-07-01","Sensitivity","Restricted","EXO","71"
"2026-07-01","Sensitivity","Restricted","ODB","71"
"2026-07-01","Sensitivity","Restricted","SPO","71"
"2026-07-01","Sensitivity","Restricted","Teams","77"
"2026-07-01","Retention","7 Year Retention","EXO","78"
"2026-07-01","Retention","7 Year Retention","ODB","78"
"2026-07-01","Retention","7 Year Retention","SPO","78"
"2026-07-01","Retention","7 Year Retention","Teams","84"
"2026-07-01","Retention","Permanent Record","EXO","85"
"2026-07-01","Retention","Permanent Record","ODB","85"
"2026-07-01","Retention","Permanent Record","SPO","85"
"2026-07-01","Retention","Permanent Record","Teams","91"
"2026-07-01","Retention","Delete after 90 days","EXO","92"
"2026-07-01","Retention","Delete after 90 days","ODB","92"
"2026-07-01","Retention","Delete after 90 days","SPO","92"
"2026-07-01","Retention","Delete after 90 days","Teams","98"
"2026-07-01","SensitiveInformationType","Credit Card Number","EXO","99"
"2026-07-01","SensitiveInformationType","Credit Card Number","ODB","99"
"2026-07-01","SensitiveInformationType","Credit Card Number","SPO","99"
